mood,tag,number
Acoustik,04fc0482665a84,1
Balkan,04f70482665a84,2
Bouge Ton Fût04f20482665a84,3
Bouge Ton Fût!,04f20482665a84
C'est Le Matin,04ed0482665a84,4
C'est Meilleur Avec l'Uber,04f70382665a84,5
Calmichou,04ed0382665a84,6
Canapé,04f20382665a84,7
Chanson Française,04e40482665a84,8
Chill Con Electro,04df0482665a84,9
Classique Mais Classieux,04e90482665a84,10
Cumbia,0421ee82665a81,11
Darty Dancing,041cee82665a81,12
Dusty,0417ee82665a81,13
Électro,04adf382665a80,14
Électro Jazz,0434ec82665a81,15
Électro Powsé,0430ed82665a81,16
Fin De Soirée,042bee82665a81,17
Fin Fond de Canapé,0426ee82665a81,18
Focus,0443ec82665a81,19
Funky,043eec82665a81,20
Good Old Jazz,04eefc82665a80,22
Good Old Rock,04fdfc82665a80,23
Groovlax,04f8fc82665a80,24
Groovy,0409fc82665a81,25
Hot La Gavotte,0404fc82665a81,26
Jazzynamique,0418fc82665a81,28
L'air De Panache,0413fc82665a81,29
On The Road,040efc82665a81,30
Phare Ouest,0467cd82665a80,31
Popichouette,041723c2655a81,32
Progressif,041f25c2655a81,33
Prohibition,04081ec2655a81,34
Psychédélice,04001cc2655a81,35
Rap,041020c2655a81,36
Rock,041421c2655a81,37
Rock Powsé,04fc1bc2655a80,38
Sweet Sieste,040c1fc2655a81,39
Trip Hopipop,04f419c2655a80,40
Veracruz,04ea19c2655a80,41
Yop Hip Hop,0439ec82665a81,21
Darty Dancing,04f3fc82665a80
